sample,TN_rep1,TN_rep2,TN_avg,date
33a1,179.4839064,211.1300801,195.3069933,1
33a2,161.4294803,154.0671375,157.7483089,1
33a3,158.7872875,152.586597,155.6869423,1
33a4,185.8466731,135.4320447,160.6393589,1
33a5,230.7912301,223.899961,227.3455955,1
33a6,164.5845422,158.1578065,161.3711744,1
33b1,376.7960343,400.760658,388.7783461,1
33b2,369.5415295,NA,369.5415295,1
33b3,317.2982797,319.8471511,318.5727154,1
33b4,279.5783965,274.0904585,276.8344275,1
33b5,277.115987,320.4158535,298.7659203,1
33b6,200.2227992,260.7490037,230.4859015,1
33c1,262.9780299,404.7387032,333.8583666,1
33c2,418.0382031,426.6358983,422.3370507,1
33c3,404.7387032,NA,404.7387032,1
33c3,345.4114104,376.5757349,360.9935727,2
33c4,344.5906978,325.6083844,335.0995411,2
33c5,358.1558372,407.2306841,382.6932607,2
33c6,297.1175743,323.9512668,310.5344206,2
33d1,142.909758,160.1765781,151.543168,2
33d2,93.59089428,115.5557054,104.5732999,2
33d3,124.9956264,91.71863387,108.3571301,2
33d4,143.1132885,116.5843424,129.8488154,2
33d5,134.6120869,136.1830532,135.3975701,2
33d6,157.5407254,NA,157.5407254,2
34a1,140.9094476,79.4192435,110.1643456,2
34a2,63.43213879,62.08729999,62.75971939,2
34a3,171.407159,184.021182,177.7141705,2
34a4,140.40682,144.5646787,142.4857493,2
34a5,269.2595171,258.3942032,263.8268601,3
34a6,259.7029924,240.1709554,249.9369739,3
34b1,83.42686192,146.8890423,115.1579521,3
34b2,203.188863,139.5634998,171.3761814,3
34b3,178.2245192,158.9603682,168.5924437,3
34b4,126.7047993,106.2927658,116.4987825,3
34b5,159.4833586,160.6702859,160.0768222,3
34b6,176.9908432,230.8989501,203.9448966,3
34c1,294.6981765,355.949685,325.3239308,3
34c2,389.6884316,372.701311,381.1948713,3
34c3,432.8275235,405.1200627,418.9737931,3
34c4,339.2603907,351.7324949,345.4964428,3
34c5,391.4106055,385.3476287,388.3791171,3
34c6,289.9073953,344.9821193,317.4447573,3
34d1,124.214607,114.7225487,119.4685779,4
34d2,48.42271886,56.19862991,52.31067439,4
34d3,81.98452561,141.9799459,111.9822357,4
34d4,122.6333117,85.39934544,104.0163286,4
34d5,56.87519748,122.1366016,89.50589955,4
34d6,114.4802109,79.23324975,96.85673033,4
35a1,207.2838828,228.4513476,217.8676152,4
35a2,324.5499892,309.1160389,316.8330141,4
35a3,306.5217056,303.2758628,304.8987842,4
35a4,239.8435321,240.6368174,240.2401747,4
35a5,340.0266372,320.6694522,330.3480447,4
35a6,185.4759538,202.9414202,194.208687,4
35b1,58.15447729,51.46199753,54.80823741,4
35b2,60.6197286,119.7686151,90.19417187,4
35b3,75.33503057,64.28594382,69.81048719,5
35b4,80.18106779,110.3812723,95.28117007,5
35b5,55.20042922,43.22008855,49.21025889,5
35b6,83.5273318,77.93798018,80.73265599,5
35c1,145.9135977,147.6679032,146.7907504,5
35c2,104.1792674,125.9120948,115.0456811,5
35c3,187.6252081,191.8060142,189.7156111,5
35c4,169.5044934,235.800929,202.6527112,5
35c5,234.2951493,221.7435038,228.0193266,5
35c6,183.6573247,156.3504664,170.0038955,5
35d1,83.69881901,50.20701745,66.95291823,5
35d2,75.96174235,95.17584036,85.56879135,5
35d3,262.5489305,211.3727926,236.9608615,5
35d4,258.5694695,278.7545595,268.6620145,5
35d5,234.0641204,179.8332468,206.9486836,5
35d6,80.24931448,88.3032943,84.27630439,5
36a1,94.9097305,190.3357507,142.6227406,5
36a2,160.5828504,1933.190536,1046.886693,6
36a3,272.2242969,208.7799436,240.5021202,6
36a4,197.4170175,329.4325284,263.4247729,6
36a5,279.664993,245.6122158,262.6386044,6
36a6,318.427719,302.3696579,310.3986884,6
36b1,45.37453446,80.09238538,62.73345992,6
36b2,121.5977441,96.35318979,108.9754669,6
36b3,81.98029233,38.38238856,60.18134045,6
36b4,182.0541747,170.0532187,176.0536967,6
36b5,29.23103522,50.6577456,39.94439041,6
36b6,140.7334725,146.162583,143.4480278,6
36c1,139.6575723,218.6513198,179.154446,6
36c2,136.5192715,141.023032,138.7711517,6
36c3,43.70814651,125.6846493,84.69639788,6
36c4,53.41536443,75.71058091,64.56297267,6
36c5,183.7102273,128.7061616,156.2081945,6
36c6,116.0434047,138.1184802,127.0809425,6
36d1,332.0211489,364.3833988,348.2022739,7
36d2,384.5238143,293.9807242,339.2522692,7
36d3,365.3946663,352.8985913,359.1466288,7
36d4,507.2797375,485.3045722,496.2921548,7
36d5,378.6788133,420.2536035,399.4662084,7
36d6,465.087082,500.2231762,482.6551291,7
37a1,88.18238139,159.3580004,123.7701909,7
37a2,155.3119163,133.5450724,144.4284943,7
37a3,131.8423298,133.4087549,132.6255424,7
37a4,120.6759625,119.3377614,120.0068619,7
37a5,183.4675098,137.2136425,160.3405761,7
37a6,76.44496828,139.0799153,107.7624418,7
37b1,97.72908116,90.18226722,93.95567419,7
37b2,151.3908673,151.1083868,151.2496271,7
37b3,102.0357149,130.0756964,116.0557057,7
37b4,125.3505604,140.5204179,132.9354892,7
37b5,62.13544035,130.5394123,96.33742632,7
37b6,-4.571506308,108.879312,52.15390283,8
37c1,-140.7286727,293.556212,76.41376962,8
37c2,178.9231919,275.4766001,227.199896,8
37c3,317.3489832,365.5392593,341.4441213,8
37c4,326.2149719,211.0908243,268.6528981,8
37c5,268.9842782,233.9883802,251.4863292,8
37c6,233.1062731,327.1119352,280.1091041,8
37d1,249.1250717,157.771149,203.4481103,8
37d2,144.0485902,150.8240534,147.4363218,8
37d3,316.4002855,229.8328467,273.1165661,8
37d4,234.2781629,207.5024471,220.890305,8
37d5,5.588018033,50.35246088,27.97023946,8
37d6,64.24874944,-58.24370992,3.002519761,8
38a1,133.6150132,114.3750469,123.9950301,8
38a2,177.6831385,101.6450553,139.6640969,8
38a3,-1.26207551,-112.9855579,-57.12381671,8
38a4,-5.155616037,-57.30392595,-31.22977099,8
38a5,323.5700476,370.2298404,346.899944,9
38a6,284.1562767,219.9751976,252.0657371,9
38b1,165.2785359,150.0397407,157.6591383,9
38b2,128.6742057,120.8889009,124.7815533,9
38b3,186.121514,118.7949561,152.458235,9
38b4,92.20131718,133.4039123,112.8026147,9
38b5,137.3368588,101.3072906,119.3220747,9
38b6,141.6560211,96.46607813,119.0610496,9
38c1,343.2503237,356.7378013,349.9940625,9
38c2,376.6578149,267.9723849,322.3150999,9
38c3,350.9612913,397.0625412,374.0119162,9
38c4,278.7830462,259.3092249,269.0461355,9
38c5,350.1407096,269.2633185,309.702014,9
38c6,336.6338029,273.6130605,305.1234317,9
38d1,70.80773677,168.4863566,119.6470467,9
38d2,59.018865,108.7295256,83.87419528,9
38d3,88.0796554,76.23655124,82.15810332,9
38d4,27.59439557,111.4560833,69.52523942,10
38d5,99.0668674,246.6413845,172.8541259,10
38d6,56.41629073,30.92691233,43.67160153,10
39a1,184.8538221,99.75694695,142.3053845,10
39a2,324.2068743,324.5731473,324.3900108,10
39a3,363.247438,149.5243121,256.3858751,10
39a4,166.5279087,203.0420857,184.7849972,10
39a5,79.57532359,-259.1637656,-89.79422099,10
39a6,299.0228149,310.252807,304.6378109,10
39b1,28.47685538,-9.077017102,9.69991914,10
39b2,-1.465091953,81.09368163,39.81429484,10
39b3,1.2613629,-89.02941334,-43.88402522,10
39b4,106.3136178,-1.524581569,52.39451813,10
39b5,56.22830354,-14.3829417,20.92268092,10
39b6,48.30538499,46.27669757,47.29104128,10
39c1,117.4160275,179.6401522,148.5280899,10
39c2,75.67518438,170.196313,122.9357487,10
39c3,70.28613736,31.3369938,50.81156558,11
39c4,15.79877067,70.34403681,43.07140374,11
39c5,239.765981,190.3811846,215.0735828,11
39c6,219.4459867,203.3555475,211.4007671,11
39d1,114.8949525,144.7694423,129.8321974,11
39d2,-26.01874802,116.0301437,45.00569784,11
39d3,171.9809191,128.9464262,150.4636727,11
39d4,68.03764825,100.1228116,84.08022991,11
39d5,6.5042799,102.7129074,54.60859367,11
39d6,183.436326,28.16573215,105.8010291,11
40a1,270.7990026,384.5138919,327.6564473,11
40a2,293.9504611,333.9776202,313.9640407,11
40a3,429.1317539,420.6261432,424.8789485,11
40a4,336.0670667,325.2662855,330.6666761,11
40a5,456.7239196,487.2510448,471.9874822,11
40a6,296.5961043,278.7943744,287.6952394,11
40b1,155.9033791,166.8467394,161.3750592,12
40b2,61.36656649,139.0322863,100.1994264,12
40b3,101.9301506,138.3729792,120.1515649,12
40b4,101.7414571,141.1091209,121.425289,12
40b5,138.6922934,143.2021538,140.9472236,12
40b6,187.8937309,236.3391881,212.1164595,12
40c1,251.4755071,195.0513313,223.2634192,12
40c2,264.4379738,63.93469338,164.1863336,12
40c3,187.3895143,162.1680026,174.7787585,12
40c4,185.6264796,218.6702408,202.1483602,12
40c5,197.2470685,248.5754865,222.9112775,12
40c6,144.1792241,202.7734612,173.4763427,12
40d1,325.2162302,377.8355184,351.5258743,12
40d2,424.8007227,394.2785613,409.539642,12
40d3,276.147826,304.9052295,290.5265277,12
40d4,332.1182759,286.7653238,309.4417999,12
40d5,210.611531,186.2318007,198.4216659,13
40d6,137.8757814,206.2562279,172.0660046,13
MP-1-1,1323.312243,1453.834711,1388.573477,13
MP-1-2,703.9760294,718.6084106,711.29222,13
ODR-2-1,1595.770164,959.4310963,1277.60063,13
ODR-2-2,587.0824249,70.73701926,328.9097221,13
ODR-3-1,4417.091246,4527.988151,4472.539699,13
ODR-3-2,3152.590428,3357.142709,3254.866569,13
TF-1-1,13175.47048,6854.824252,10015.14737,13
TF-1-2,3309.738676,3343.269747,3326.504212,13
TF-2-1,17873.92129,8843.027184,13358.47424,13
TF-2-2,434588.5799,295710.5048,365149.5424,13
UM-1-1,789.289321,736.65411,762.9717155,13
UM-1-2,567.2842979,578.300962,572.79263,13
