sample,treatment
39c4,M_N_H
40c2,W_N_ODR
40b3,TF_N_KF
34b4,DR_Y_ODR
34a4,DR_Y_H
38b4,M_Y_ODR
39c3,M_Y_H
37a5,UM_Y_KF
33a4,LR_Y_ODR
38a3,M_N_H
38a4,M_Y_H
39b1,LR_Y_ODR
33a6,UM_Y_ODR
37b1,LR_Y_ODR
33a3,LR_N_ODR
38b6,W_Y_ODR
39b2,LR_N_ODR
34a1,M_Y_H
40b2,W_Y_KF
40b4,TF_Y_KF
40c3,TF_N_ODR
37b5,UM_Y_ODR
34b5,TF_N_ODR
38b2,DR_Y_ODR
34a2,M_N_H
40b1,W_N_KF
40d6,DR_Y_H
33a5,UM_N_ODR
35c6,UM_Y_ODR
38b5,W_N_ODR
39b6,UM_Y_ODR
35c4,LR_Y_ODR
36c2,DR_Y_ODR
40c6,DR_Y_ODR
40b5,DR_N_KF
35b3,LR_N_KF
36c3,TF_Y_ODR
37b6,UM_N_ODR
38b3,M_N_ODR
39b3,M_Y_ODR
39c5,UM_N_H
35b4,LR_Y_KF
35c1,M_Y_ODR
34b1,M_Y_ODR
37b2,LR_N_ODR
39d2,LR_N_KF
38a2,DR_Y_H
39b4,M_N_ODR
40c4,TF_Y_ODR
38d1,DR_N_KF
38d5,W_N_KF
37b3,TF_N_ODR
35c5,UM_N_ODR
35b5,UM_N_KF
37a4,TF_Y_KF
35c3,LR_N_ODR
36b2,DR_Y_KF
34b6,TF_Y_ODR
36c5,W_N_ODR
39a1,LR_Y_N
34d5,TF_N_KF
36a2,DR_Y_H
38d4,M_Y_KF
34b3,DR_N_ODR
35d1,M_Y_H
39d1,LR_Y_KF
35d2,M_N_H
34b2,M_N_ODR
39b5,UM_N_ODR
39d6,UM_Y_KF
37d6,UM_N_H
33d5,UM_N_KF
39c6,UM_Y_H
37b4,TF_Y_ODR
35d6,UM_Y_H
33d6,UM_Y_KF
33a2,W_N_ODR
38d2,DR_Y_KF
36b5,W_N_KF
33d2,W_N_KF
39d5,UM_N_KF
33b5,UM_N_H
37a1,LR_Y_KF
37d5,UM_Y_H
39d4,M_N_KF
40b6,DR_Y_KF
35b6,UM_Y_KF
40c1,W_Y_ODR
40c5,DR_N_ODR
34d2,M_N_KF
33d1,W_Y_KF
36c6,W_Y_ODR
35d5,UM_N_H
33d4,LR_Y_KF
33b6,UM_Y_H
36b6,W_Y_KF
37a6,UM_N_KF
39d3,M_Y_KF
33a1,W_Y_ODR
38b1,DR_N_ODR
36b3,TF_Y_KF
37a3,TF_N_KF
40d1,W_N_H
34d4,DR_Y_KF
35c2,M_N_ODR
35b2,M_N_KF
36b4,TF_N_KF
36c1,DR_N_ODR
34d1,M_Y_KF
34d3,DR_N_KF
36a1,DR_N_H
37d1,LR_Y_H
34a3,DR_N_H
34d6,TF_Y_KF
38d6,W_Y_KF
39a5,UM_N_N
38a1,DR_N_H
38d3,M_N_KF
39c1,LR_Y_H
35a6,UM_Y_N
35b1,M_Y_KF
36b1,DR_N_KF
36c4,TF_N_ODR
37a2,LR_N_KF
39a4,M_N_N
34a5,TF_N_H
33d3,LR_N_KF
40a6,DR_Y_N
39c2,LR_N_H
35a1,M_Y_N
37d3,TF_N_H
36a3,TF_Y_H
33c6,UM_Y_N
34a6,TF_Y_H
36a4,TF_N_H
40d4,TF_Y_H
40a4,TF_Y_N
40d2,W_Y_H
33b3,LR_N_H
33b2,W_N_H
40a2,W_Y_N
35d4,LR_Y_H
38a6,W_Y_H
36a5,W_N_H
40d5,DR_N_H
35d3,LR_N_H
33b1,W_Y_H
34c6,TF_Y_N
38c4,M_Y_N
33c1,W_Y_N
34c1,M_Y_N
33c4,LR_Y_N
38a5,W_N_H
33b4,LR_Y_H
37d4,TF_Y_H
33c5,UM_N_N
37d2,LR_N_H
37c5,UM_Y_N
38c6,W_Y_N
40d3,TF_N_H
35a4,LR_Y_N
36a6,W_Y_H
33c2,W_N_N
33c3,LR_N_N
38c3,M_N_N
37c1,LR_Y_N
37c4,TF_Y_N
34c4,DR_Y_N
40a3,TF_N_N
40a1,W_N_N
38c2,DR_Y_N
36d3,TF_Y_N
38c5,W_N_N
39a2,LR_N_N
39a3,M_Y_N
37c6,UM_N_N
36d2,DR_Y_N
34c5,TF_N_N
37c3,TF_N_N
40a5,DR_N_N
39a6,UM_Y_N
37c2,LR_N_N
34c2,M_N_N
35a2,M_N_N
34c3,DR_N_N
35a5,UM_N_N
36d1,DR_N_N
38c1,DR_N_N
36d5,W_N_N
35a3,LR_N_N
36d4,TF_N_N
36d6,W_Y_N
